,author,link,title,date
44,iceyo4343,https://www.ptt.cc/bbs/movie/M.1646195713.A.337.html,[討論] 秘境探險海灘邊出現的客串演員（雷, 3/02
45,qpr322,https://www.ptt.cc/bbs/movie/M.1646196271.A.A88.html,[情報] 2021 好萊塢評論家協會 得獎名單, 3/02
46,CliMeisWorld,https://www.ptt.cc/bbs/movie/M.1646196326.A.0FD.html,[好雷] 《李希特舒眠曲》的夢中之花, 3/02
47,qpr322,https://www.ptt.cc/bbs/movie/M.1646197895.A.F6E.html,[情報] 「獵人克拉文」女友 Calypso 將由亞莉安娜黛博塞飾演！, 3/02
48,johan0727,https://www.ptt.cc/bbs/movie/M.1646203200.A.ACC.html,[新聞] 又裝傻？安德魯加菲爾德談未來蜘蛛人計畫, 3/02
49,chiu03272000,https://www.ptt.cc/bbs/movie/M.1646203535.A.556.html,[普雷] 尼羅河謀殺案, 3/02
50,shanyaochung,https://www.ptt.cc/bbs/movie/M.1646206077.A.EB4.html,[討論] 奇異博士2：失控多重宇宙 5月4日上映, 3/02
51,kenny1300175,https://www.ptt.cc/bbs/movie/M.1646115198.A.CAF.html,[新聞] 派屈克史都華：X教授將現身《奇異博士2》, 3/01
52,murasakiahn,https://www.ptt.cc/bbs/movie/M.1646120035.A.BA0.html,Re: [新聞] 《咒術迴戰0》上映才1天「多起盜錄檢, 3/01
53,fionhihi,https://www.ptt.cc/bbs/movie/M.1646124368.A.51D.html,[好無雷] 蝙蝠俠, 3/01
54,azlbf,https://www.ptt.cc/bbs/movie/M.1646124879.A.2AD.html,[微雷] 尼羅河謀殺案, 3/01
55,filmwalker,https://www.ptt.cc/bbs/movie/M.1646128145.A.D53.html,[新聞] 「時代革命」全台票房直逼800萬　片名成, 3/01
56,mayu0326,https://www.ptt.cc/bbs/movie/M.1646129001.A.6F5.html,[問片] 神明下凡來戰鬥的港片, 3/01
57,b08297,https://www.ptt.cc/bbs/movie/M.1646130784.A.915.html,[討論] 奇異博士2真的賣的到情懷嗎, 3/01
58,lockgolden,https://www.ptt.cc/bbs/movie/M.1646133415.A.7F8.html,[討論] 金剛狼：武士之戰的片尾彩蛋有BUG(有雷), 3/01
59,aveniverson,https://www.ptt.cc/bbs/movie/M.1646136518.A.1E5.html,[問片] 某部日本愛情電影結局遺憾(已解決, 3/01
60,Wonderwalk,https://www.ptt.cc/bbs/movie/M.1646138824.A.7E9.html,[討論] 蝙蝠俠  爛蕃茄開盤好評！, 3/01
61,quentintu,https://www.ptt.cc/bbs/movie/M.1646139642.A.B48.html,[好雷]《娶我吧！》疑似翹臀珍真人真事改編, 3/01
62,Icestorm,https://www.ptt.cc/bbs/movie/M.1646141445.A.2FD.html,[轉錄] 如何解讀《末代皇帝》最後年邁的溥儀在, 3/01
63,hvariables,https://www.ptt.cc/bbs/movie/M.1646142388.A.670.html,[新聞] 「蝙蝠俠」締造評價新高 水行俠等不及想看, 3/01
64,Akerker,https://www.ptt.cc/bbs/movie/M.1646143938.A.0AE.html,[討論] 喬登皮爾編導新恐怖片《不！》中文預告, 3/01
65,ayami0219,https://www.ptt.cc/bbs/movie/M.1646145335.A.C09.html,[贈票] 逍遙上路首輪交換券, 3/01
66,Paul0807,https://www.ptt.cc/bbs/movie/M.1646146130.A.E84.html,[超好雷] 情聖西哈諾, 3/01
67,jygiant0330,https://www.ptt.cc/bbs/movie/M.1646148347.A.93A.html,[好雷] 時代革命, 3/01
68,hvariables,https://www.ptt.cc/bbs/movie/M.1646149018.A.C23.html,[新聞] 安德魯加菲爾德妙回小蜘蛛「假翹臀」說, 3/01
69,ultmisia,https://www.ptt.cc/bbs/movie/M.1646067542.A.7B6.html,[  普雷] 時代革命，地鳴的巨人, 3/01
70,godofsex,https://www.ptt.cc/bbs/movie/M.1646069133.A.D03.html,[新聞] 不怕成本又過高 湯姆克魯斯跑南非拍, 3/01
71,samsball2000,https://www.ptt.cc/bbs/movie/M.1646069295.A.0AA.html,[負雷] 黑光行動, 3/01
72,arsl400,https://www.ptt.cc/bbs/movie/M.1646069489.A.716.html,[討論] 蝙蝠俠2022首波油土伯評價, 3/01
73,godofsex,https://www.ptt.cc/bbs/movie/M.1646076208.A.6B9.html,[新聞] 《死侍2》薩琪畢茲有望飾演長髮姑娘, 3/01
74,tuhsiaofu,https://www.ptt.cc/bbs/movie/M.1646086473.A.42B.html,[好雷] 彼得.汀克萊傑的西哈諾, 3/01
75,mysmalllamb,https://www.ptt.cc/bbs/movie/M.1646087932.A.167.html,[好雷] 我是你的完美男友 Ich bin dein Mensch, 3/01
76,ueiwei,https://www.ptt.cc/bbs/movie/M.1646096044.A.6B5.html,[偏好雷]神聖電視台The Eyes of Tammy Faye, 3/01
77,DP26,https://www.ptt.cc/bbs/movie/M.1646101510.A.95A.html,[討論] 有人看過飛俠阿達嗎, 3/01
78,tiesto06202,https://www.ptt.cc/bbs/movie/M.1646102352.A.319.html,[新聞] 迪士尼開第一槍 暫停對俄國上映院線片, 3/01
79,Tencc,https://www.ptt.cc/bbs/movie/M.1646103658.A.0FC.html,[閒聊] 好小子拍新版會有人想看嗎?, 3/01
80,khpr1007,https://www.ptt.cc/bbs/movie/M.1646107654.A.BD6.html,[討論] iTunes特價 阿波羅13號/失蹤網紅/浪人47, 3/01
81,icemake121,https://www.ptt.cc/bbs/movie/M.1646108028.A.1B0.html,[好雷] 逍遙上路 (Dog), 3/01
82,vdml,https://www.ptt.cc/bbs/movie/M.1646109345.A.2E2.html,Re: [閒聊] 好小子拍新版會有人想看嗎?, 3/01
83,kenny1300175,https://www.ptt.cc/bbs/movie/M.1646109428.A.BDD.html,[新聞] 《蝙蝠俠》閃電宣布俄羅斯不上映了！, 3/01
84,BoBoLung,https://www.ptt.cc/bbs/movie/M.1646111322.A.C8B.html,Re: [新聞] 《咒術迴戰0》上映才1天「多起盜錄檢舉」, 3/01
85,mayu0326,https://www.ptt.cc/bbs/movie/M.1646111949.A.DB8.html,[討論] 看到台詞有女人跟小孩會翻白眼嗎？, 3/01
86,glacierl,https://www.ptt.cc/bbs/movie/M.1646114029.A.FF7.html,Re: [新聞] 獻聲奇異博士2 X教授:有人模仿我的聲音, 3/01
87,lgng66133,https://www.ptt.cc/bbs/movie/M.1646115054.A.FF6.html,[情報] 2022 香港編劇協會 年度最佳電影角色入圍, 3/01
